id_rh,anio,vmae,vaeas,dma,p,prec,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
11,2019,8840.841,5600.488,9279.923,9406.2520816463,721.080812765904,Presidio-San Pedro,51717,819,8840.84303687693,0,8840.84303687693,26
11,2020,8925.344,3164.0299999999997,9167.388,12203.812338048103,743.605854602872,NA,NA,NA,NA,0,NA,NA
11,2021,9097.862449148515,3164.0299999999997,NA,11790.023031792976,760.854243441745,NA,NA,NA,NA,0,NA,NA
11,2022,9352.777900360421,3164.0299999999997,NA,11178.602698308057,791.78288651491,NA,NA,NA,NA,0,NA,NA
11,2023,9627.494637690079,3164.0299999999997,NA,10519.688543228613,817.029553618298,NA,NA,NA,NA,0,NA,NA
12,2005,14496.65,22562.41,17979.893,18798.72307494653,582.4449,NA,NA,NA,NA,0,NA,NA
12,2006,14496.65,22562.41,17979.893,18798.72307494653,776.39885,Lerma-Santiago,132916,717.6760051,13842.4,0,13842.4,52
12,2007,14496.65,22562.41,17979.893,18798.72307494653,684.7345,Lerma-Santiago,132916,723.2311502,13636.9,0,13636.9,52
12,2008,14496.65,22562.41,17979.893,18798.72307494653,727.8622,Lerma-Santiago,132916,722.48384635,13636.9,0,13636.9,58
12,2009,14496.65,22562.41,17979.893,18798.72307494653,579.0233250000001,Lerma-Santiago,132916,723,13636.9,0,13636.9,58
12,2010,13550.45,27154.2,18001.313,15811.178841963418,726.6998,Lerma-Santiago,132916,723,13210.770000000002,0,13210.770000000002,59
12,2011,13550.45,24483.202577422577,18001.143,12439.59493231869,435.30418575,Lerma-Santiago,132916,717.12,13211,0,13211,59
12,2012,13550.45,24483.202577422577,18001.143,12439.59493231869,602.9273479999999,Lerma-Santiago,132916,717.12,13210.8,0,13210.8,59
12,2013,13179.65,24733.636,11874.483,9313.51705094867,780.1925,Lerma-Santiago,132916,717.12,13210.8,0,13210.8,58
12,2014,13179.65,24733.636,11874.483,9313.51705094867,681.4499999999999,Lerma-Santiago,132916,717.12,13179.7,0,13179.7,58
12,2015,13179.65,24733.636,11874.483,9313.51705094867,868.65,Lerma-Santiago,132916,717.12,13179.7,0,13179.7,58
12,2016,13061.619,26068.053,7837.617,9902.24203491983,723.265,Lerma-Santiago,132916,717,13061.619196414,0,13061.619196414,58
