CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
1008,PUERTO DE LA CONCEPCION,1959-2015,,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,12,10,102,8,6,2322.8,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",22.202778,-102.135
1010,LA TINAJA,1961-2015,,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA CALLES,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,9,52,102,33,15,2525.7,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA CALLES",22.164444,-102.554167
1011,MALPASO,1949-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,51,36,102,39,50,1730.2,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1",21.86,-102.663889
1012,PRESA MEDIA LUNA,1970-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,47,40,102,48,6,1588.7,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1",21.794444,-102.801667
1013,MESILLAS,1963-2015,,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,18,48,102,9,57,2020.5,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",22.313333,-102.165833
1014,PABELLON CAMPO EXPERIMENTAL,"1937-2006, 2010-2015",,PABELLON DE ARTEAGA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,10,1,102,17,34,1933.7,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",22.166944,-102.292778
1015,PALO ALTO,1967-2015,,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †ENCARNACION,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,54,59,101,58,10,2037.5,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO ENCARNACION",21.916389,-101.969444
1017,PRESA POTRERILLOS,1942-2015,,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,13,58,102,26,37,2171.9,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",22.232778,-102.443611
1018,PRESA PLUTARCO ELIAS CALLES,1933-2015,,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA CALLES,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,8,29,102,24,55,2053.1,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA CALLES",22.141389,-102.415278
1019,PRESA JOCOQUE,1942-2015,,RINCON DE ROMOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,7,41,102,21,34,2006.2,"TENÕA ERR”NEO EL NOMBRE DE L MUNICIPIO, SIENDO EL CORRECTO RINCON DE ROMOS; TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",22.128056,-102.359444
