id_rh,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas,anio
25,San Fernando-Soto la Marina,54961,757.317105240000,4328.200000000000,,4328.200000000000,45,2008
26,Pánuco,96989,891.781557100000,20329.500000000000,,20329.500000000000,77,2008
27,Norte de Veracruz (Tuxpan-Nautla),26592,1427.059158250000,14305.700000000001,,14305.700000000001,5,2008
28,Papaloapan,57355,1459.855769300000,49951.400000000001,,49951.400000000001,18,2008
29,Coatzacoalcos,30217,1946.415857460000,39481.599999999999,,39481.599999999999,15,2008
30,Grijalva-Usumacinta,102465,1708.754688710000,73465.600000000006,44080,117545.600000000010,83,2008
31,Yucatán Oeste,25443,1228.553297300000,590.600000000000,,590.600000000000,2,2008
32,Yucatán Norte,58135,1091.251171510000,0.000000000000,,0.000000000000,0,2008
33,Yucatán Este,38308,1243.437667540000,1124.800000000000,864,1988.800000000000,1,2008
34,Cuencas Cerradas del Norte,90829,404.275113170000,1701.300000000000,,1701.300000000000,0,2008
35,Mapimí,62639,360.803861930000,957.400000000000,,957.400000000000,6,2008
36,Nazas-Aguanaval,93032,425.344972830000,1911.600000000000,,1911.600000000000,16,2008
37,El Salado,87801,430.639034790000,2636.900000000000,,2636.900000000000,8,2008
1,B.C. Noroeste,28492,249.404145400000,359.000000000000,,359.000000000000,16,2007
2,B.C. Centro-Oeste,44314,100.862623400000,449.000000000000,,449.000000000000,16,2007
3,B.C. Suroeste,29722,184.676322200000,318.400000000000,,318.400000000000,15,2007
4,B.C. Noreste,14418,180.741333300000,105.100000000000,,105.100000000000,8,2007
5,B.C. Centro-Este,13626,100.477566700000,53.500000000000,,53.500000000000,15,2007
6,B.C. Sureste,11558,284.679479700000,218.500000000000,,218.500000000000,14,2007
7,Río Colorado,6911,100.281002200000,13.400000000000,1850,1863.400000000000,1,2007
8,Sonora Norte,61429,301.150639000000,139.000000000000,,139.000000000000,5,2007
9,Sonora Sur,139370,507.165309800000,4934.500000000000,,4934.500000000000,16,2007
10,Sinaloa,103483,715.886965700000,14408.000000000000,,14408.000000000000,19,2007
11,Presidio-San Pedro,51717,815.201330000000,7955.500000000000,,7955.500000000000,4,2007
12,Lerma-Santiago,132916,723.231150200000,13636.900000000000,,13636.900000000000,52,2007
13,Río Huicicila,5225,1396.207273000000,1277.200000000000,,1277.200000000000,0,2007
14,Río Ameca,12255,1022.685745000000,2235.500000000000,,2235.500000000000,0,2007
15,Costa de Jalisco,12967,1185.455642000000,3683.800000000000,,3683.800000000000,0,2007
16,Armería-Coahuayana,17628,911.335179500000,3882.000000000000,,3882.000000000000,0,2007
17,Costa de Michoacán,9205,890.885923000000,1635.400000000000,,1635.400000000000,0,2007
18,Balsas,118268,949.668729300000,17056.500000000000,,17056.500000000000,15,2007
19,Costa Grande de Guerrero,12132,1232.031050000000,6090.700000000000,,6090.700000000000,28,2007
20,Costa Chica de Guerrero,39936,1393.125366000000,18713.600000000000,,18713.600000000000,32,2007
21,Costa de Oaxaca,10514,971.197727500000,3389.200000000000,,3389.200000000000,19,2007
22,Tehuantepec,16363,824.865001300000,2606.200000000000,,2606.200000000000,15,2007
23,Costa de Chiapas,12293,2352.665865000000,9603.800000000000,2950,12553.800000000000,25,2007
24,Bravo-Conchos,229740,448.549237200000,5587.700000000000,-432,5155.700000000000,0,2007
25,San Fernando-Soto la Marina,54961,758.513242600000,4328.200000000000,,4328.200000000000,45,2007
26,Pánuco,96989,889.196260400000,20329.500000000000,,20329.500000000000,0,2007
27,Norte de Veracruz (Tuxpan-Nautla),26592,1423.208059000000,14305.700000000000,,14305.700000000000,5,2007
