id_rh,anio,vmae,vaeas,dma,p,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
8,2022,141.2270789394803,64.57,NA,0,NA,NA,NA,NA,0,NA,NA
8,2023,140.44257010578124,64.57,NA,0,NA,NA,NA,NA,0,NA,NA
9,2005,4934.46,8246.85,558.21,531.6289550950903,NA,NA,NA,NA,0,NA,NA
9,2006,4934.460000000001,8246.85,558.21,531.6289550950921,Sonora Sur,139370,427.6704352,4934.5,0,4934.5,0
9,2007,4934.460000000001,8246.85,558.21,531.6289550950921,Sonora Sur,139370,507.1653098,4934.5,0,4934.5,16
9,2008,4934.46,8246.85,558.21,531.6289550950903,Sonora Sur,139370,504.48723775,4934.5,0,4934.5,16
9,2009,4934.46,8246.85,558.21,531.6289550950903,Sonora Sur,139370,505,4934.5,0,4934.5,16
9,2010,4934.46,8246.85,558.21,531.6289550950903,Sonora Sur,139370,505,4934.460000000001,0,4934.460000000001,16
9,2011,4934.46,8849.536166666667,558.21,612.7555016735944,Sonora Sur,139370,482.69,4935,0,4935,16
9,2012,4934.460000000001,8849.536166666667,558.21,612.7555016735962,Sonora Sur,139370,482.69,4934.5,0,4934.5,16
9,2013,4934.288,8582.925000000001,553.1122727272727,576.5091317390727,Sonora Sur,139370,482.69,4934.5,0,4934.5,16
9,2014,4934.288,8582.925000000001,553.1122727272727,576.5091317390727,Sonora Sur,139370,482.69,4934.3,0,4934.3,16
9,2015,4934.288,8582.925000000001,553.1122727272727,576.5091317390727,Sonora Sur,139370,482.69,4934.3,0,4934.3,16
9,2016,4828.256,9660.351,523.794,500.66006973166577,Sonora Sur,139370,483,4828.25487543957,0,4828.25487543957,16
9,2017,4828.255999999999,9660.351,523.794,500.66006973166395,Sonora Sur,139370,483,4828.25487543957,0,4828.25487543957,16
9,2018,4828.255999999999,9660.351,523.794,500.66006973166395,Sonora Sur,139370,482.69,4828.25487543957,0,4828.25487543957,16
9,2019,4828.256,9660.351,523.794,500.66006973166577,Sonora Sur,139370,483,4828.25487543957,0,4828.25487543957,16
9,2020,4799.52,8816.855,254.517,327.25741012022536,NA,NA,NA,NA,0,NA,NA
9,2021,4870.339437102057,8816.855,NA,474.7842251369284,NA,NA,NA,NA,0,NA,NA
9,2022,4874.325583156538,8816.855,NA,483.0879261499931,NA,NA,NA,NA,0,NA,NA
9,2023,4856.72635320423,8816.855,NA,446.42626308326817,NA,NA,NA,NA,0,NA,NA
10,2005,14360.918,20748.779000000002,6005.047,6005.760360079676,NA,NA,NA,NA,0,NA,NA
10,2006,14360.918,20748.779000000002,6005.047,6005.760360079676,Sinaloa,103483,617.4299928,14408,0,14408,11
10,2007,14360.918,20748.779000000002,6005.047,6005.760360079676,Sinaloa,103483,715.8869657,14408,0,14408,19
10,2008,14360.918,20748.779000000002,6005.047,6005.760360079676,Sinaloa,103483,713.07884849,14408,0,14408,21
10,2009,14360.918,20748.779000000002,6005.047,6005.760360079676,Sinaloa,103483,713,14408,0,14408,21
10,2010,14157.479,20451.209,5313.627,5204.467857013386,Sinaloa,103483,713,14350.419000000002,0,14350.419000000002,23
10,2011,14149.087,20957.555703768456,5302.943,5247.278531689995,Sinaloa,103483,747.42,14350,0,14350,23
10,2012,14149.087,20957.555703768456,5302.943,5247.278531689995,Sinaloa,103483,747.42,14350.4,0,14350.4,23
10,2013,14127.284,21498.555,5086.023,5245.20532500158,Sinaloa,103483,747.42,14350.4,0,14350.4,23
10,2014,14127.284,21498.555,5086.023,5245.20532500158,Sinaloa,103483,747.42,14318.8,0,14318.8,23
10,2015,14127.284,21498.555,5086.023,5245.20532500158,Sinaloa,103483,747.42,14318.8,0,14318.8,23
10,2016,14064.41,21248.98,5065.414,4974.50598409191,Sinaloa,103483,747,14695.8096071953,0,14695.8096071953,30
10,2017,14064.41,21248.98,5065.414,4974.50598409191,Sinaloa,103483,747,14695.8096071953,0,14695.8096071953,30
10,2018,14064.41,21248.98,5065.414,4974.50598409191,Sinaloa,103483,747.42,14695.8096071953,0,14695.8096071953,30
10,2019,14064.41,21248.98,5065.414,4974.50598409191,Sinaloa,103483,747,14695.8096071953,0,14695.8096071953,30
10,2020,13952.8,18948.854,4119.313,4222.319367835944,NA,NA,NA,NA,0,NA,NA
10,2021,14077.754040793332,18948.854,NA,4687.744524499574,NA,NA,NA,NA,0,NA,NA
10,2022,14243.68153846843,18948.854,NA,5305.786415021261,NA,NA,NA,NA,0,NA,NA
10,2023,14379.080498098474,18948.854,NA,5810.116499889291,NA,NA,NA,NA,0,NA,NA
11,2005,7836.688,463.269,14342.728,14558.110473834033,NA,NA,NA,NA,0,NA,NA
11,2006,7836.688,463.269,14342.728,14558.110473834033,Presidio-San Pedro,51717,653.8875703,8078.5,0,8078.5,0
11,2007,7836.688,463.269,14342.728,14558.110473834033,Presidio-San Pedro,51717,815.20133,7955.5,0,7955.5,4
11,2008,7836.688,463.269,14342.728,14558.110473834033,Presidio-San Pedro,51717,818.44143125,7955.5,0,7955.5,19
11,2009,7836.688,463.269,14342.728,14558.110473834033,Presidio-San Pedro,51717,818,7955.5,0,7955.5,19
11,2010,7836.688,463.269,14342.728,14558.110473834033,Presidio-San Pedro,51717,818,8299.223,0,8299.223,23
11,2011,7836.688,2518.241244949495,14342.728,12043.647985491045,Presidio-San Pedro,51717,819.02,8299,0,8299,23
